date,volume,ema_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,target,target_binary,sentiment_score,gdp%change,unemloyment_rate,fed_rate,cpi%change
2024-02-29,83924800,491.79694681357313,66.93988295564607,6.226904037665747,6.229981704943541,-0.003077667277794127,503.0763886602213,492.15892028808594,481.24145191595056,buy,buy,-1.0,1.6,3.9,5.33,0.32622
2024-03-01,76805900,493.0387728889918,70.97613880071977,6.520974154851729,6.288180194925179,0.23279395992654983,504.43276405725766,493.3229385375977,482.2131130179377,buy,buy,0.0,1.6,3.9,5.33,0.39752
2024-03-04,49799300,494.11077254595534,69.91629078329753,6.633873153976197,6.357318786735383,0.2765543672408137,505.8430187183912,494.20641326904297,482.56980781969474,sell,sell,0.0,1.6,3.9,5.33,0.39752
2024-03-05,72855600,494.60067618369175,60.81179676182432,6.244675128009021,6.334790054990111,-0.09011492698108992,505.92365717942323,494.9264831542969,483.9293091291705,sell,sell,0.0,1.6,3.9,5.33,0.39752
2024-03-06,68382400,495.2848629710708,63.388961888930936,6.070397037406565,6.281911451473402,-0.21151441406683702,506.32889993390114,495.7026626586914,485.07642538348165,buy,buy,0.0,1.6,3.9,5.33,0.39752
2024-03-07,58652100,496.3782601592799,67.86920124255023,6.2620124927493634,6.277931659728594,-0.01591916697923068,507.87794158868536,496.5251068115234,485.17227203436147,sell,sell,0.296,1.6,3.9,5.33,0.39752
2024-03-08,86425500,497.07784271107465,62.81405871427224,6.09813733153095,6.241972794089066,-0.1438354625581164,508.6008938911572,497.1846389770508,485.76838406294434,buy,buy,0.0,1.6,3.9,5.33,0.39752
2024-03-11,62557200,497.66954730685774,62.104670911423845,5.865698510225059,6.166717937316265,-0.3010194270912061,509.2518583391468,497.68076477050784,486.1096712018689,buy,buy,-1.0,1.6,3.9,5.33,0.39752
2024-03-12,73114400,498.7205240839948,67.10541822655301,6.048633781165165,6.143101106086045,-0.09446732492088028,510.7740438325563,498.4584213256836,486.14279881881095,sell,sell,0.0,1.6,3.9,5.33,0.39752
2024-03-13,55104100,499.5954655681828,65.72965141352273,6.0594190746599566,6.1263646998008285,-0.06694562514087199,511.1810333235946,499.5358200073242,487.89060669105385,sell,sell,0.8271,1.6,3.9,5.33,0.39752
2024-03-14,110171800,500.2914575471803,63.95179065855132,5.918722454841429,6.084836250808949,-0.16611379596751963,511.67922622242736,500.3420211791992,489.00481613597105,sell,sell,-1.0,1.6,3.9,5.33,0.39752
2024-03-15,107585800,500.58966811002324,58.08614417808938,5.463376525476804,5.96054430574252,-0.4971677802657162,511.847687142894,500.8048751831055,489.76206322331694,sell,sell,0.0,1.6,3.9,5.33,0.39752
2024-03-18,88893300,501.14441884061625,61.36627210534983,5.283031991006567,5.825041842795329,-0.5420098517887624,512.0051048563942,501.5403717041016,491.075638551809,buy,buy,0.0,1.6,3.9,5.33,0.39752
2024-03-19,60755300,501.91436188444146,64.20401729281,5.306031095290166,5.721239693294296,-0.41520859800413046,511.8134623553465,502.5519317626953,493.2904011700441,buy,buy,0.0,1.6,3.9,5.33,0.39752
